aX,aY,aZ,gX,gY,gZ
1.835,-1.315,-2.336,-152.283,241.821,-384.888
2.247,-1.183,-2.444,-138.977,178.772,-348.694
2.585,-1.219,-2.317,-101.501,119.995,-309.570
2.732,-1.182,-1.938,-45.349,74.402,-269.226
2.729,-1.211,-1.446,3.418,49.011,-227.722
2.650,-1.056,-0.981,48.218,45.959,-185.852
2.501,-1.008,-0.712,78.918,64.636,-145.081
2.327,-0.964,-0.650,93.384,96.680,-104.309
2.144,-0.886,-0.722,94.238,128.296,-62.317
1.957,-0.783,-0.884,85.144,149.231,-21.423
1.744,-0.617,-0.993,76.416,152.588,15.015
1.509,-0.370,-1.049,70.984,138.916,46.509
1.338,-0.282,-0.999,59.509,109.802,70.007

0.810,-0.135,-1.197,-46.692,7.935,-32.104
0.838,-0.067,-1.017,-44.006,-4.761,-19.653
0.843,0.065,-0.812,-27.649,-21.301,-8.118
0.897,0.072,-0.703,-32.959,-23.621,0.977
0.924,-0.031,-0.823,-48.767,-9.583,2.258
1.093,-0.141,-1.156,-62.561,0.488,-1.038
1.190,-0.294,-1.437,-56.641,-10.498,-5.188
1.291,-0.356,-1.427,-35.583,-42.480,-4.456
1.393,-0.338,-1.252,-25.330,-75.867,2.014
1.395,-0.378,-1.241,-31.189,-95.947,9.644
1.462,-0.428,-1.288,-36.316,-107.605,15.198
1.515,-0.489,-1.255,-22.827,-115.112,19.104
1.552,-0.596,-1.130,-4.028,-117.737,23.437
1.556,-0.673,-1.074,9.705,-117.859,32.654
1.531,-0.677,-1.117,19.531,-121.765,46.570
1.451,-0.612,-1.072,31.067,-133.301,63.904
1.329,-0.523,-1.059,38.513,-151.367,81.909
1.218,-0.496,-1.006,40.344,-166.382,101.013
1.139,-0.401,-0.996,35.583,-183.350,118.469
1.033,-0.302,-0.998,20.081,-201.294,131.714
0.956,-0.299,-0.971,-1.465,-214.478,139.771
0.745,-0.390,-0.849,-8.240,-224.792,145.752
0.684,-0.155,-0.744,2.563,-231.995,154.480
0.649,-0.022,-0.573,8.789,-233.521,159.851
0.564,0.020,-0.436,2.502,-228.638,158.936
0.455,0.082,-0.334,-5.188,-218.750,154.785
0.365,0.027,-0.265,-20.264,-203.552,149.597
0.297,-0.050,-0.269,-30.396,-185.425,146.729
0.201,-0.104,-0.278,-29.358,-170.166,149.048
0.069,-0.094,-0.250,-23.499,-161.255,155.579
-0.045,-0.064,-0.204,-17.212,-158.081,164.856
-0.134,-0.035,-0.119,-9.155,-159.363,175.415
-0.234,0.027,0.032,2.319,-162.170,185.425
-0.374,0.122,0.207,14.404,-162.048,193.848
-0.601,0.316,0.494,23.071,-155.029,202.576
-0.922,0.611,0.855,25.818,-135.803,214.172
-1.243,0.959,1.139,14.404,-102.234,229.614
-1.622,1.396,1.309,-7.568,-55.237,242.554
-2.011,1.801,1.353,-26.001,1.465,241.089
-2.380,2.254,1.341,-36.133,67.444,217.102
-2.686,2.648,1.278,-36.499,140.808,162.354
-2.948,2.879,1.039,-33.691,216.858,75.134
-3.067,2.730,0.701,-28.870,285.217,-39.124
-3.075,2.204,0.271,-22.217,340.332,-166.382
-2.880,1.376,-0.228,-16.602,379.395,-286.743
-2.549,0.432,-0.791,-7.507,403.198,-381.714
