aX,aY,aZ,gX,gY,gZ
0.153,-0.339,-1.245,-3.601,-13.611,81.604
0.158,-0.369,-1.216,-0.427,-14.526,86.060
0.131,-0.377,-1.197,5.371,-13.916,92.346
0.109,-0.388,-1.203,10.559,-11.597,100.464
0.086,-0.376,-1.223,16.968,-9.949,109.436
0.082,-0.367,-1.240,25.513,-10.315,115.540
0.020,-0.330,-1.252,28.259,-10.498,121.704
-0.002,-0.268,-1.267,27.771,-13.855,129.150
-0.018,-0.213,-1.290,28.564,-17.639,135.681
-0.049,-0.223,-1.307,28.259,-21.179,141.785
-0.084,-0.201,-1.301,30.029,-24.231,147.278
-0.115,-0.098,-1.266,33.875,-26.489,151.245
-0.139,0.005,-1.237,37.964,-27.771,152.039
-0.159,0.058,-1.241,40.527,-28.564,149.780
-0.186,0.081,-1.253,42.236,-30.212,147.705
-0.217,0.108,-1.260,43.640,-33.447,147.217
-0.247,0.122,-1.238,46.265,-40.100,148.132
-0.274,0.168,-1.182,50.415,-49.011,150.085
-0.306,0.187,-1.122,50.964,-58.655,152.405
-0.313,0.240,-1.060,47.974,-68.054,154.297
-0.295,0.289,-1.035,45.044,-77.576,154.907
-0.279,0.291,-0.985,41.199,-86.304,153.564
-0.277,0.270,-0.942,37.415,-91.675,154.236
-0.292,0.280,-0.940,35.461,-93.079,157.471
-0.306,0.324,-0.944,34.363,-92.773,161.438
-0.316,0.361,-0.939,33.630,-92.590,163.574
-0.323,0.382,-0.937,33.875,-93.140,163.269
-0.309,0.392,-0.947,34.241,-94.116,161.987
-0.291,0.380,-0.929,35.339,-95.581,160.400
-0.293,0.371,-0.891,38.696,-97.107,159.851
-0.302,0.383,-0.881,41.382,-97.534,161.499
-0.325,0.396,-0.873,42.236,-98.083,165.588
-0.365,0.426,-0.869,43.274,-99.487,170.898
-0.408,0.470,-0.859,45.532,-101.746,176.270
-0.449,0.518,-0.817,49.683,-103.699,180.420
-0.487,0.566,-0.796,55.237,-103.577,182.861
-0.527,0.583,-0.767,60.669,-102.112,183.044
-0.576,0.591,-0.733,66.711,-99.915,182.251
-0.613,0.633,-0.703,75.317,-97.412,182.739
-0.657,0.667,-0.702,84.778,-95.154,184.082
-0.700,0.735,-0.689,95.581,-93.994,185.608
-0.725,0.801,-0.714,108.093,-94.543,186.157
-0.759,0.815,-0.680,122.253,-96.985,185.608
-0.835,0.787,-0.425,140.015,-100.769,182.068
-0.893,0.820,-0.161,147.949,-101.257,174.011
-0.885,0.917,-0.122,133.911,-96.375,162.720
-0.849,0.996,-0.250,108.032,-92.590,151.428
-0.819,1.016,-0.332,90.149,-95.276,142.822
-0.830,1.005,-0.302,86.304,-102.173,135.986
-0.813,1.040,-0.195,88.257,-108.154,129.944
-0.821,1.065,-0.088,85.693,-109.314,120.789
-0.803,1.082,-0.017,79.041,-105.347,108.887
-0.759,1.106,0.014,71.899,-98.450,96.985
-0.711,1.125,0.057,67.383,-90.210,85.754
-0.680,1.150,0.120,64.453,-81.360,75.867
-0.648,1.179,0.184,59.204,-71.960,67.139
-0.624,1.207,0.222,51.392,-62.012,59.631
-0.604,1.232,0.225,41.321,-52.368,52.490
-0.581,1.258,0.223,30.273,-43.762,46.143
-0.551,1.281,0.212,19.470,-36.133,39.673
-0.556,1.301,0.191,7.690,-28.320,32.288
-0.527,1.300,0.127,-3.296,-20.386,23.987
-0.489,1.284,0.035,-13.855,-12.268,14.893
-0.466,1.241,-0.055,-22.583,-5.066,4.333
-0.433,1.197,-0.152,-26.978,0.977,-5.676
-0.387,1.155,-0.250,-28.992,7.263,-14.221
-0.352,1.105,-0.354,-28.015,12.817,-20.752
-0.325,1.067,-0.440,-23.926,17.273,-25.024
-0.301,1.044,-0.490,-17.944,20.325,-27.466
-0.281,1.029,-0.516,-13.367,21.545,-29.358
-0.257,1.018,-0.553,-11.536,22.156,-30.884
-0.238,1.008,-0.573,-9.888,21.301,-31.677
-0.222,1.010,-0.572,-9.155,18.555,-31.433
-0.212,1.016,-0.567,-10.132,14.893,-31.738
-0.197,1.012,-0.565,-11.475,11.047,-33.447
-0.181,0.994,-0.554,-11.169,8.423,-35.706
-0.174,0.970,-0.532,-9.155,7.202,-38.025
-0.164,0.952,-0.509,-5.676,8.179,-39.612
-0.154,0.935,-0.496,-2.808,11.536,-40.039
-0.151,0.916,-0.490,-0.305,16.235,-40.283
-0.147,0.909,-0.510,0.671,20.935,-40.833
-0.136,0.904,-0.542,0.671,24.170,-41.748
-0.138,0.886,-0.563,0.488,25.757,-42.542
-0.144,0.876,-0.574,-0.671,25.452,-44.067
-0.141,0.872,-0.598,-3.235,23.926,-45.532
-0.140,0.859,-0.629,-5.798,21.362,-46.631
-0.139,0.840,-0.642,-7.690,17.639,-47.729
-0.141,0.830,-0.632,-7.812,13.855,-48.218
-0.140,0.825,-0.621,-7.935,10.986,-48.706
-0.134,0.811,-0.608,-8.362,9.338,-49.500
-0.124,0.798,-0.595,-7.690,9.033,-49.988
-0.116,0.788,-0.572,-6.226,10.010,-50.476
-0.112,0.785,-0.559,-5.310,12.146,-51.270
-0.100,0.780,-0.564,-5.066,14.587,-52.612
-0.089,0.765,-0.578,-5.005,16.235,-53.528
-0.080,0.742,-0.591,-4.333,17.456,-54.016
-0.073,0.729,-0.594,-3.357,18.066,-53.406
-0.063,0.724,-0.600,-2.625,18.311,-52.612
-0.052,0.723,-0.605,-2.380,17.761,-51.514
-0.042,0.724,-0.599,-2.380,16.235,-49.927
-0.026,0.735,-0.596,-3.174,14.404,-48.401
-0.007,0.736,-0.600,-5.371,12.939,-47.058
0.006,0.736,-0.599,-7.385,11.780,-46.021
0.024,0.735,-0.604,-9.033,11.047,-45.898
0.040,0.719,-0.628,-10.803,10.925,-46.326
0.049,0.695,-0.641,-10.925,10.803,-46.204
0.057,0.691,-0.634,-9.521,10.498,-45.471
0.062,0.692,-0.613,-6.226,10.193,-43.579
0.053,0.696,-0.576,-2.502,10.620,-39.978
0.035,0.720,-0.531,0.000,12.085,-35.400
0.008,0.757,-0.504,1.404,14.771,-31.189
-0.021,0.790,-0.486,0.732,16.785,-28.503
-0.050,0.827,-0.469,-2.441,17.212,-27.222
-0.072,0.863,-0.469,-6.531,16.968,-27.100
-0.090,0.878,-0.474,-10.864,15.930,-28.992
-0.103,0.883,-0.474,-13.794,15.137,-31.067
-0.113,0.889,-0.476,-14.893,15.442,-33.203
-0.117,0.897,-0.485,-14.465,17.456,-35.278
-0.118,0.901,-0.487,-12.878,20.508,-38.086
-0.122,0.914,-0.477,-10.071,23.682,-41.138
-0.122,0.935,-0.469,-7.874,27.039,-45.227
-0.116,0.948,-0.464,-7.812,29.602,-50.537
-0.103,0.954,-0.458,-10.010,30.884,-56.152
-0.092,0.961,-0.476,-14.465,31.189,-62.073
-0.069,0.953,-0.518,-22.034,30.518,-68.359
-0.038,0.919,-0.575,-28.809,29.236,-73.914
-0.005,0.887,-0.612,-30.579,27.588,-77.881
0.014,0.866,-0.616,-28.015,27.039,-79.773
0.025,0.864,-0.601,-22.766,27.588,-79.834
0.026,0.885,-0.568,-17.395,29.175,-79.041
0.007,0.925,-0.531,-14.099,30.823,-78.247
-0.023,0.975,-0.498,-14.343,31.860,-78.430
-0.053,1.016,-0.488,-17.456,32.349,-80.750
-0.082,1.056,-0.482,-22.461,32.593,-85.205
-0.100,1.096,-0.483,-27.954,32.776,-91.675
-0.100,1.101,-0.495,-33.386,33.630,-101.196

0.519,-0.244,-1.190,38.818,39.124,-38.879
0.519,-0.169,-1.078,36.865,50.354,-13.550
0.454,-0.046,-1.253,39.917,62.866,0.061
0.367,-0.028,-1.406,38.452,67.688,5.493
0.369,-0.061,-1.506,35.461,62.256,6.470
0.386,-0.126,-1.567,29.968,49.622,6.287
0.391,-0.174,-1.607,19.226,33.752,9.644
0.387,-0.163,-1.666,5.798,17.639,16.113
0.378,-0.158,-1.722,-5.676,1.648,20.935
0.381,-0.175,-1.717,-12.329,-12.329,22.766
0.393,-0.208,-1.686,-15.625,-22.339,23.743
0.423,-0.240,-1.659,-20.081,-27.527,26.062
0.462,-0.291,-1.659,-25.879,-31.189,29.053
0.502,-0.381,-1.662,-32.349,-36.438,32.410
0.503,-0.499,-1.679,-39.795,-44.373,38.452
0.451,-0.603,-1.670,-47.668,-55.481,48.340
0.516,-0.616,-1.519,-56.885,-69.641,62.988
0.414,-0.843,-1.821,-73.486,-86.426,80.261
0.459,-0.827,-1.922,-76.782,-103.943,104.309
0.446,-0.768,-1.909,-70.740,-128.418,128.479
0.394,-0.661,-1.861,-68.298,-147.827,147.949
0.332,-0.538,-1.808,-60.364,-161.560,160.828
0.310,-0.464,-1.764,-52.246,-170.654,166.077
0.284,-0.458,-1.697,-40.588,-176.270,166.199
0.253,-0.396,-1.638,-21.057,-180.664,165.894
0.269,-0.307,-1.509,-6.042,-185.608,165.833
0.257,-0.294,-1.400,-4.395,-184.326,164.185
0.212,-0.266,-1.325,-2.930,-176.819,162.781
0.178,-0.195,-1.302,2.014,-168.335,162.109
0.166,-0.108,-1.286,6.897,-162.537,161.865
0.152,-0.029,-1.271,9.949,-160.400,161.987
0.133,0.032,-1.257,9.216,-162.598,162.476
0.122,0.060,-1.228,3.967,-168.396,163.147
0.124,0.068,-1.189,-2.563,-176.208,164.856
0.121,0.068,-1.139,-8.362,-184.509,168.457
0.108,0.084,-1.066,-13.123,-192.017,174.683
0.081,0.141,-1.004,-16.846,-197.876,183.350
0.043,0.202,-0.946,-21.484,-202.209,191.772
-0.005,0.247,-0.890,-27.466,-205.505,198.059
