aX,aY,aZ,gX,gY,gZ
0.132,-0.047,-0.111,-15.320,106.873,133.240
0.059,0.016,-0.156,-15.930,116.455,144.653
0.002,0.089,-0.211,-21.729,125.061,153.687
-0.087,0.180,-0.306,-27.649,135.620,160.217
-0.120,0.216,-0.330,-42.236,139.954,164.124
-0.179,0.286,-0.436,-49.561,142.761,166.016
-0.227,0.357,-0.542,-52.856,145.325,166.992
-0.281,0.434,-0.633,-54.199,146.118,168.030
-0.319,0.526,-0.695,-54.810,145.325,168.457
-0.333,0.664,-0.731,-55.786,143.738,169.006
-0.394,0.711,-0.837,-63.965,144.165,168.274
-0.448,0.718,-0.971,-65.186,144.348,166.504
-0.443,0.838,-1.036,-56.885,139.343,169.250
-0.491,0.857,-1.140,-61.951,135.803,172.302
-0.551,0.875,-1.319,-66.589,135.193,173.340
-0.597,0.927,-1.463,-56.458,129.761,172.729
-0.640,1.017,-1.509,-39.612,118.591,169.861
-0.679,1.136,-1.521,-24.048,106.506,164.612
-0.704,1.219,-1.533,-14.648,96.008,155.640
-0.717,1.265,-1.546,-10.803,86.365,142.822
-0.702,1.301,-1.589,-10.315,77.332,127.808
-0.670,1.299,-1.650,-10.559,67.627,112.610
-0.639,1.252,-1.694,-9.216,56.580,97.473
-0.608,1.205,-1.705,-3.845,45.166,84.473
-0.571,1.180,-1.713,2.686,35.095,74.585
-0.546,1.144,-1.742,8.545,26.794,66.711
-0.527,1.114,-1.788,15.137,18.921,60.852
-0.504,1.129,-1.815,23.254,10.437,56.458
-0.509,1.143,-1.783,31.616,1.099,50.720
-0.522,1.145,-1.775,35.278,-8.301,43.335
-0.517,1.139,-1.826,34.180,-17.761,35.583
-0.520,1.125,-1.873,34.241,-28.137,28.198
-0.528,1.084,-1.921,38.513,-39.673,19.897
-0.527,1.000,-1.968,45.532,-52.368,11.108
-0.516,0.904,-1.997,54.932,-67.505,4.883
-0.503,0.881,-1.949,66.223,-85.938,1.770
-0.508,0.873,-1.835,77.087,-106.384,-0.793
-0.500,0.857,-1.718,83.496,-124.878,-3.967
-0.476,0.833,-1.611,87.830,-139.526,-8.667
-0.450,0.772,-1.523,91.492,-150.513,-15.320
-0.420,0.717,-1.437,97.046,-158.569,-21.545
-0.401,0.668,-1.323,104.065,-163.940,-25.879
-0.392,0.625,-1.209,109.741,-167.297,-28.198
-0.366,0.563,-1.130,111.633,-169.556,-29.480
-0.325,0.522,-1.064,111.267,-171.082,-27.893
-0.303,0.535,-0.993,111.572,-172.424,-23.254
-0.314,0.571,-0.898,113.037,-173.340,-18.860
-0.332,0.606,-0.815,113.403,-173.340,-16.602
-0.335,0.635,-0.739,111.694,-172.363,-17.273
-0.326,0.631,-0.708,109.375,-169.617,-20.569
-0.299,0.545,-0.724,107.422,-165.894,-24.658
-0.263,0.480,-0.711,108.765,-163.513,-25.879
-0.243,0.471,-0.663,114.014,-163.452,-23.193
-0.235,0.500,-0.587,116.699,-164.978,-18.066
-0.246,0.543,-0.520,113.403,-166.626,-13.000
-0.252,0.582,-0.484,107.361,-168.640,-10.376
-0.245,0.612,-0.434,101.868,-171.143,-10.559
-0.237,0.618,-0.374,97.351,-173.035,-13.184
-0.210,0.620,-0.319,93.201,-172.852,-16.418
-0.186,0.622,-0.272,89.966,-169.800,-19.104
-0.164,0.612,-0.222,89.355,-164.856,-20.996
-0.136,0.573,-0.209,88.562,-157.959,-21.240
-0.110,0.537,-0.185,87.280,-151.245,-19.592
-0.107,0.535,-0.116,87.280,-146.790,-15.442
-0.111,0.571,-0.044,86.121,-143.372,-9.644
-0.107,0.635,0.033,82.703,-140.747,-5.249
