aX,aY,aZ,gX,gY,gZ
0.161,0.090,-0.987,-1.282,1.343,6.287
0.154,0.100,-0.998,-1.160,1.648,6.775
0.147,0.104,-1.009,-0.549,1.404,6.470
0.137,0.106,-1.014,0.366,0.427,5.920
0.131,0.105,-1.006,1.587,-0.427,5.188
0.138,0.107,-0.999,2.075,-0.732,5.127
0.143,0.113,-1.000,1.648,-0.305,4.395
0.141,0.117,-1.004,1.160,0.244,3.601
0.142,0.120,-1.008,1.038,-0.122,2.502
0.147,0.119,-1.007,1.770,-0.793,0.610
0.153,0.108,-0.993,2.930,-1.648,-1.892
0.167,0.094,-0.976,4.822,-2.075,-3.662
0.179,0.081,-0.967,5.554,-1.831,-4.578
0.183,0.072,-0.969,5.188,-1.038,-4.150
0.182,0.065,-0.967,4.517,-0.427,-2.258
0.175,0.071,-0.962,3.784,0.183,-0.122
0.169,0.084,-0.970,2.258,1.221,1.648
0.159,0.096,-0.990,0.671,2.014,3.052

0.843,0.184,-1.597,43.335,10.620,-0.854
1.087,0.304,-1.093,52.185,12.634,-5.188
1.126,0.416,-1.024,37.292,28.320,-2.563
1.227,0.361,-1.292,-0.793,45.593,1.404
1.389,0.257,-1.707,-16.907,58.167,-4.700
1.560,0.147,-1.926,-4.456,60.547,-16.235
1.699,0.063,-2.027,14.160,55.115,-22.705
1.753,0.120,-2.108,27.710,46.692,-23.071
1.698,0.263,-2.146,36.133,34.851,-24.353
1.598,0.338,-2.123,38.757,19.287,-33.081
1.526,0.428,-2.031,38.147,2.380,-46.021
1.391,0.558,-1.920,34.424,-10.986,-60.181
1.289,0.571,-1.828,34.912,-19.104,-80.383
1.291,0.434,-1.765,40.710,-22.644,-103.943
1.326,0.301,-1.691,39.917,-27.039,-117.859
1.216,0.130,-1.655,30.518,-36.987,-116.516
1.089,-0.010,-1.542,20.142,-49.622,-105.469
0.867,0.011,-1.332,12.512,-63.171,-88.989
0.730,-0.070,-1.031,-13.916,-70.129,-73.547
0.578,-0.219,-0.839,-59.387,-68.054,-62.012
0.335,-0.380,-0.746,-104.309,-61.890,-52.124
0.119,-0.477,-0.653,-130.981,-62.134,-41.260
-0.193,-0.620,-0.522,-143.921,-62.561,-27.222
-0.516,-0.723,-0.391,-143.311,-54.810,-8.057
-0.806,-0.845,-0.344,-138.428,-36.377,15.747
-1.089,-1.003,-0.449,-131.165,-11.841,45.471
-1.429,-1.088,-0.526,-115.662,10.010,82.581
-1.760,-1.049,-0.566,-93.567,25.940,124.573
-2.098,-1.046,-0.536,-76.233,36.194,166.016
-2.474,-0.958,-0.487,-68.115,45.715,205.811
-2.680,-0.673,-0.578,-74.768,61.035,243.164
-2.674,-0.240,-0.859,-93.384,80.994,269.958
-2.526,0.265,-1.237,-105.164,97.900,277.405
