aX,aY,aZ,gX,gY,gZ
0.237,-0.252,0.936,0.549,-3.479,-1.038
0.232,-0.248,0.945,-2.136,-4.761,-1.648
0.224,-0.250,0.957,-3.601,-5.676,-2.808
0.228,-0.258,0.972,-3.479,-5.737,-3.845
0.236,-0.268,0.986,-2.502,-5.005,-4.211
0.237,-0.275,0.994,-1.526,-3.723,-3.723
0.240,-0.282,0.990,-0.366,-2.686,-2.930
0.236,-0.283,0.992,0.305,-2.136,-2.380
0.237,-0.271,0.995,-0.244,-1.770,-1.953
0.237,-0.266,0.997,-0.610,-1.282,-2.441
0.239,-0.265,0.994,-0.488,-0.305,-3.174
0.244,-0.264,0.982,-0.549,1.221,-3.357
0.245,-0.263,0.958,-1.038,2.441,-3.601
0.247,-0.266,0.934,-1.160,2.563,-4.272
0.245,-0.276,0.925,-1.587,1.221,-5.188
0.237,-0.276,0.930,-2.747,-0.183,-5.493
0.235,-0.276,0.936,-3.296,-0.488,-5.615
0.240,-0.278,0.935,-2.686,0.732,-5.249
0.243,-0.278,0.925,-1.404,2.625,-4.272
0.244,-0.281,0.907,0.061,3.845,-3.723
0.249,-0.284,0.887,0.366,4.333,-2.869
0.250,-0.285,0.869,0.000,2.991,-2.380
0.242,-0.279,0.869,-1.343,-0.122,-1.892
0.238,-0.264,0.885,-2.747,-3.235,-1.404
0.237,-0.248,0.906,-2.808,-5.066,-1.404
0.236,-0.244,0.919,-1.831,-5.188,-1.709
0.233,-0.248,0.928,-0.488,-5.005,-2.563
0.229,-0.247,0.932,-0.549,-4.639,-3.357
0.231,-0.240,0.929,-1.221,-4.089,-4.028
0.241,-0.232,0.916,-1.038,-2.686,-4.578
0.249,-0.235,0.901,-0.061,-1.892,-4.944
0.246,-0.235,0.891,0.122,-2.014,-4.883
0.246,-0.233,0.887,-0.183,-2.808,-4.883
0.246,-0.228,0.888,-0.305,-3.174,-4.700
0.245,-0.219,0.886,-0.549,-3.296,-4.150
0.240,-0.210,0.885,-1.099,-3.357,-3.906
0.231,-0.204,0.888,-1.587,-3.906,-3.784
0.216,-0.191,0.896,-2.441,-4.517,-3.723
0.204,-0.181,0.904,-2.747,-5.249,-4.517
0.202,-0.179,0.914,-2.014,-6.409,-6.287
0.206,-0.183,0.933,-1.587,-7.629,-8.911
0.214,-0.197,0.951,-1.343,-7.874,-11.902
0.214,-0.201,0.958,-0.977,-7.141,-13.489
0.223,-0.198,0.956,-0.122,-5.981,-14.160
0.240,-0.209,0.945,1.221,-6.348,-15.198
0.245,-0.222,0.947,1.343,-8.850,-16.418
0.240,-0.227,0.966,-1.038,-11.536,-17.273
0.228,-0.219,0.984,-4.150,-12.451,-17.761
0.221,-0.206,0.997,-6.409,-12.512,-18.433
0.221,-0.212,1.010,-7.080,-12.024,-19.836
0.223,-0.220,1.026,-6.592,-9.949,-20.874
0.226,-0.228,1.033,-5.432,-6.958,-21.362
0.226,-0.229,1.026,-4.395,-3.784,-21.606
